# 角色屬性表標籤(角色屬性畫面 V/X)— 譯名以 CONTEXT.md「屬性 / Stats」為準。
# english	chinese
Character	角色
Strength	力量
Dexterity	敏捷
Intel	智力
Spirit	精神
Health	生命
Stun	暈眩值
Power	法力
Level	等級
Gold	金幣
Status	狀態
Gender	性別
Male	男
Female	女
dead	死亡
chained	被縛
poisoned	中毒
stunned	暈眩
normal	正常
# ── 建角流程(新遊戲 / 建立人物;手冊第 6/7/11 頁)──
Create Character	建立人物
Enter name:	輸入名字:
Points left	剩餘點數
add  - subtract	加  - 減
Up/Down select  +/- adjust  G gender  Enter done	上下:選擇  +/-:調整  G:性別  Enter:完成
Enter: confirm  Esc: cancel	Enter:確認  Esc:取消
Party	隊伍
Begin the game	開始遊戲
Add another (max 4)	新增隊員(最多 4 名)
B: begin  N: add member  Esc: back	B:開始  N:新增隊員  Esc:返回
HP	生命
PWR	法力
AV	攻擊值
DV	防禦值
member(s)	名隊員
# ── RPG 成長迴圈(升級 / X 配點 / 使用物品 U / 裝備穿脫;手冊第 8/13/14 頁)──
Advancement points	成長點數
Spend AP (X):	分配成長點數(X):
Point spent.	已加 1 點。
No AP / at cap.	點數不足或已達上限。
skill_bandage	包紮
skill_lockpick	開鎖
skill_fist	徒手
Power restored.	法力已回復。
Spell learned.	已習得法術。
Item cast a spell.	物品施放了法術。
Nothing happens.	沒有反應。
Equipped.	已裝備。
Unequipped.	已卸下。
